Country Name,Especies Aves Ameacadas (2017),Especies Peixes Ameacadas (2017),Especies Mamiferos Ameacadas (2017),% Acesso eletricidade (2006),% Acesso eletricidade (2016),Consumo eletricidade kWh per capita (2006),Consumo eletricidade kWh per capita (2014),PIB (US$) (1990),PIB (US$) (2000),PIB (US$) (2005),PIB (US$) (2016),Mortalidade infantil por mil (1990),Mortalidade infantil por mil (2000),Mortalidade infantil por mil (2005),Mortalidade infantil por mil (2016)
Botswana,15.0,2.0,11.0,39.4554214477539,60.6883964538574,1455.76089644726,1748.61533367795,3790567051.8677797,5788329609.15755,9931134940.51346,15648700274.4804,53.9,83.7,69.8,40.6
Brazil,172.0,90.0,81.0,97.594314,100.0,2063.09731659316,2601.36550571407,461951782000.0,655420645476.906,891630175813.342,1793989048409.29,64.2,35.8,26.1,15.1
Brunei Darussalam,25.0,14.0,33.0,100.0,100.0,8432.140445644829,10242.7957950372,3520551724.13793,6001153306.2645,9531402847.87311,11400653959.8368,13.3,11.8,11.5,9.9
Bulgaria,17.0,22.0,8.0,100.0,100.0,4366.912765151839,4708.92745757231,20632090909.0909,13153016530.8718,29636617749.8253,53240893665.1584,18.4,17.5,13.3,7.6
Burkina Faso,10.0,4.0,9.0,12.5818758010864,19.1647129058838,,,3101301780.95067,2628920056.1009803,5462709498.45119,11448781714.3131,198.6,180.6,154.6,84.6
Burundi,14.0,17.0,14.0,4.58806562423706,7.58847713470459,,,1132101252.5181699,870486065.883137,1117257279.46188,3007029030.4001,170.1,151.0,123.9,71.7
Cabo Verde,6.0,35.0,4.0,69.29824066162111,92.6115875244141,,,306891107.262039,539227277.6264111,971977088.1569141,1638927335.6211,62.5,36.0,27.9,21.4
Cambodia,28.0,49.0,39.0,28.084947586059602,49.770656585693395,80.7451770527253,271.433239537706,,3677897739.0762796,6293046161.832621,20016747754.0192,116.1,107.0,65.5,30.6
Cameroon,26.0,121.0,47.0,49.0,60.0747680664063,250.117852045765,280.666679136744,11151578050.7356,10083937740.0624,17944084201.4901,32217537942.6644,143.1,165.7,136.3,79.7
Canada,21.0,43.0,14.0,100.0,100.0,16508.6786342429,15545.5351105609,593929550908.468,742293448252.643,1169357979864.66,1535767736946.18,8.3,6.2,6.1,4.9
Central African Republic,14.0,3.0,16.0,7.80516932525804,13.985112190246598,,,1440711395.67069,914500299.097034,1337362392.15225,1755468136.86556,173.8,172.3,163.5,123.6
Chad,14.0,1.0,16.0,4.7569284439086905,8.83089828491211,,,1738605558.0543199,1385058161.7674599,6646663561.2656,9412034268.6661,210.8,185.1,168.8,127.3
Chile,34.0,25.0,19.0,99.36810799999999,100.0,3229.26909852773,3911.6492649682896,33113887817.9731,77860932151.8471,122964812046.07301,250036180921.053,19.1,10.9,9.2,8.3
China,93.0,134.0,74.0,98.0668106079102,100.0,2039.0146603407998,3927.04449998901,360857912565.966,1211346869605.24,2285965892360.54,11190992550229.5,53.9,36.9,24.0,9.9
